id;artist_name;track_name;release_date;genre;danceability;energy
15217;kelly clarkson;walk away;2004;pop;0.7454781761074407;0.8888854186437053
15287;the pussycat dolls;wait a minute;2005;pop;0.8754467670313009;0.8538492893872159
15374;common;go!;2005;pop;0.8451207624824002;0.7757687727584685
15418;kanye west;heard 'em say;2005;pop;0.7303151738329904;0.7026934174520766
15423;jennifer lopez;get right;2005;pop;0.7357305317881513;0.7597522565269305
15461;shakira;la tortura (feat. alejandro sanz);2005;pop;0.7346474601971191;0.7837770308742373
15479;the pussycat dolls;beep;2005;pop;0.9577602079497456;0.7327243853862102
15553;"tito ""el bambino""";flow natural;2006;pop;0.8332069749810462;0.7897832244610642
15590;juvenile;back that thang up;2006;pop;0.8332069749810462;0.7527450306756326
15612;the cheetah girls;the party's just begun;2006;pop;0.7465612476984729;0.845841031271447
15638;petey pablo;show me the money;2006;pop;0.8678652658940756;0.7727656759650551
15653;lloyd banks;hands up;2006;pop;0.7996317556590492;0.8808771605279363
15700;billy talent;fallen leaves;2006;pop;0.702155312466154;0.8118059342794288
15740;nelly furtado;maneater;2006;pop;0.7097368136033794;0.7777708372874107
15771;fergie;glamorous;2006;pop;0.8104624715693709;0.7487409016177482
15781;youngbloodz;snap yo fingers;2006;pop;0.837539261345175;0.7577501919979882
15839;troy;get'cha head in the game;2006;pop;0.889526697714719;0.8958926444950032
15862;huey lewis & the news;back in time;2006;pop;0.7541427488356981;0.8358307086267358
15896;david guetta;love is gone;2007;pop;0.7703888227011806;0.8138079988083711
15922;zac efron;what time is it;2007;pop;0.7422289613343442;0.9169143220488967
16009;september;cry for you;2007;pop;0.7736380374742771;0.878875095998994
16012;pinback;good to sea;2007;pop;0.7714718942922129;0.7767698050229395
16020;t-pain;church;2007;pop;0.7931333261128561;0.8198141923951979
16022;tegan and sara;back in your head;2007;pop;0.7476443192895051;0.7997935471057754
16095;dmx;x gon' give it to ya;2007;pop;0.7573919636087945;0.8998967735528877
16170;timbaland;give it to me;2007;pop;0.9870031409076141;0.7237150950059701
16199;eve;tambourine;2007;pop;0.8267085454348533;0.8558513539161582
16218;akon;keep you much longer;2008;pop;0.7054045272392505;0.9459442577185593
16253;lady gaga;beautiful, dirty, rich;2008;pop;0.7888010397487275;0.9099070961975989
16300;three 6 mafia;that's right;2008;pop;0.8223762590707246;0.7076985787744322
16343;wiz khalifa;say yeah;2008;pop;0.7465612476984729;0.8068007729570732
16350;hot chip;ready for the floor;2008;pop;0.7606411783818912;0.7597522565269305
16378;the ting tings;shut up and let me go;2008;pop;0.8559514783927218;0.9279256769580791
16380;will.i.am;i like to move it;2008;pop;0.8451207624824002;0.7917852889900063
16410;jesse mccartney;how do you sleep?;2008;pop;0.7443951045164087;0.8728689024121673
16417;shwayze;corona and lime;2008;pop;0.8678652658940756;0.755748127469046
16432;lady gaga;poker face;2008;pop;0.8494530488465288;0.8158100633373133
16441;the all-american rejects;gives you hell;2008;pop;0.7064875988302828;0.7257171595349123
16454;natasha bedingfield;pocketful of sunshine;2008;pop;0.7140690999675079;0.8808771605279363
16480;high school musical cast;a night to remember;2008;pop;0.7974656124769848;0.9049019348752433
16485;the ting tings;that's not my name;2008;pop;0.7508935340626016;0.9018988380818298
16510;p!nk;funhouse;2008;pop;0.7909671829307918;0.8658616765608694
16551;kid cudi;enter galactic (love connection part i);2009;pop;0.7671396079280841;0.7167078691546722
16583;twista;wetter (calling you daddy);2009;pop;0.798548684068017;0.7086996110389032
16602;kid cudi;simple as...;2009;pop;0.8017978988411135;0.7537460629401037
16609;kid cudi;make her say;2009;pop;0.940431062493231;0.7177089014191435
16618;lil scrappy;no problem;2009;pop;0.8624499079389149;0.7317233531217391
16626;uncle kracker;good to be me (feat. kid rock);2009;pop;0.7963825408859527;0.8998967735528877
16663;wale;chillin;2009;pop;0.7552258204267303;0.9129101929910123
16721;lily allen;fuck you;2009;pop;0.772554965883245;0.9049019348752433
16726;lmfao;shots;2009;pop;0.824542402252789;0.8268214182464957
16750;generationals;when they fight, they fight;2009;pop;0.7508935340626016;0.8988957412884165
16778;the black eyed peas;i gotta feeling;2009;pop;0.7357305317881513;0.7487409016177482
16982;twista;make a movie;2010;pop;0.8494530488465288;0.7747677404939973
17003;maroon 5;give a little more;2010;pop;0.7487273908805373;0.8248193537175535
17065;justin bieber;somebody to love;2010;pop;0.7064875988302828;0.8098038697504867
17091;prince royce;stand by me;2010;pop;0.7313982454240225;0.8218162569241401
17108;taio cruz;dynamite;2010;pop;0.7498104624715695;0.8047987084281311
17113;jason derulo;in my head;2010;pop;0.7584750351998268;0.7487409016177482
17131;shakira;waka waka (this time for africa) [the official 2010 fifa world cup (tm) song];2010;pop;0.7628073215639554;0.8738699346766384
17182;mac miller;kool aid and frozen pizza;2010;pop;0.7075706704213148;0.7657584501137572
17185;adele;rolling in the deep;2010;pop;0.7238167442867974;0.7707636114361128
17191;kesha;blah blah blah (feat. 3oh!3);2010;pop;0.7476443192895051;0.8368317408912069
17256;travis barker;let's go;2011;pop;0.7108198851944114;0.9099070961975989
17283;big sean;dance (a$$) remix;2011;pop;0.785551824975631;0.730722320857268
17289;rihanna;we found love;2011;pop;0.7281490306509262;0.7667594823782282
17346;mandisa;good morning;2011;pop;0.798548684068017;0.8838802573213497
17351;selena gomez;shake it up;2011;pop;0.7378966749702156;0.7987925148413042
17360;rihanna;where have you been;2011;pop;0.7119029567854437;0.8478430958003893
17418;alexandra stan;mr. saxobeat;2011;pop;0.7032383840571862;0.9289267092225502
17434;nicki minaj;starships;2011;pop;0.7422289613343442;0.7167078691546722
17445;foster the people;pumped up kicks;2011;pop;0.7270659590598939;0.7107016755678455
17535;nicki minaj;pound the alarm;2011;pop;0.7216506011047331;0.8588544507095716
17602;tyga;make it nasty;2012;pop;0.902523556807105;0.7247161272704413
17628;maroon 5;payphone;2012;pop;0.7292321022419582;0.756749159733517
17631;bruno mars;natalie;2012;pop;0.7563088920177624;0.7337254176506813
17635;taylor swift;stay stay stay;2012;pop;0.720567529513701;0.7537460629401037
17638;brad knauber;don't mine at night;2012;pop;0.7184013863316365;0.8528482571227448
17696;nicki minaj;roman holiday;2012;pop;0.7974656124769848;0.7437357402953926
17706;kesha;crazy kids;2012;pop;0.7368136033791834;0.706697546509961
17707;travis porter;bring it back;2012;pop;0.9555940647676813;0.7607532887914016
17714;wiz khalifa;remember you (feat. the weeknd);2012;pop;0.7194844579226687;0.7757687727584685
17928;a$ap rocky;r;2013;pop;0.7064875988302828;0.7657584501137572
17945;atlas genius;trojans;2013;pop;0.7140690999675079;0.8228172891886113
17959;tyga;molly;2013;pop;0.831040831798982;0.7827759986097663
17987;kyle;sex & super smash bros.;2013;pop;0.7465612476984729;0.7847780631387086
18047;steve aoki;boneless;2013;pop;0.7378966749702156;0.9629618062145684
18048;major lazer;watch out for this (bumaye);2013;pop;0.8202101158886603;0.7597522565269305
18055;the 1975;heart out;2013;pop;0.7097368136033794;0.8158100633373133
