id;artist_name;track_name;release_date;genre;violence;loudness;energy;age
52287;dr. john;revolution;2012;blues;0.5482293872449304;0.777427377381227;0.8518472248582737;0.11428571428571428
52310;the black keys;the baddest man alive;2012;blues;0.5837670936806933;0.7145347793759455;0.8268214182464957;0.11428571428571428
52328;rival sons;keep on swinging;2012;blues;0.5464281706438989;0.7752736968951106;0.8578534184451004;0.11428571428571428
52419;the heavy eyes;levantado;2012;blues;0.6497344607279342;0.8143732533394866;0.9639628384790394;0.11428571428571428
52441;thee oh sees;maze fancier;2013;blues;0.9649122797581209;0.7337897084839626;0.8608565152385138;0.1
52451;thee oh sees;tunnel time;2013;blues;0.5639257863531739;0.7510447914263005;0.9199174188423102;0.1
52501;king khan and the shrines;bite my tongue;2013;blues;0.70220581399796;0.7065866728200394;0.7437357402953926;0.1
52532;thee oh sees;sweets helicopter;2013;blues;0.5384645386309278;0.716534625541625;0.8318265795688513;0.1
52548;j. roddy walston & the business;sweat shock;2013;blues;0.5172080594616197;0.8227572238032971;0.9509494190409148;0.1
52918;linsey alexander;call my wife;2014;blues;0.543027649333458;0.7634540932748762;0.7577501919979882;0.08571428571428572
52947;blues saraceno;heroes dress in black;2014;blues;0.517042465086859;0.7031254006102095;0.8258203859820246;0.08571428571428572
53038;thee oh sees;lupine ossuary;2015;blues;0.8815789421933595;0.7561726021075301;0.9069039994041854;0.07142857142857142
53074;warren haynes;is it me or you;2015;blues;0.7224308400019296;0.7966566674358382;0.7427347080309215;0.07142857142857142
