id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
3602;nancy sinatra;greenwich village folk song salesman;1968;pop;0.6122603704104842;0.8205522652103684;0.8856141797197032;0.8418369022135626
3619;the foundations;that same old feeling;1968;pop;0.6739954510993178;0.7253031818065276;0.7908079142621598;0.7137047723612588
3733;three dog night;ain't that a lotta love;1969;pop;0.6122603704104842;0.716714098915468;0.7722588623248146;0.7907842567255353
3747;four tops;don't let him take your love from me;1969;pop;0.7703888227011806;0.6889982821834217;0.7001236603462488;0.6996903206586632
3999;the flying burrito brothers;if you gotta go;1970;pop;0.6241741579118381;0.638207317385842;0.8907666941467436;0.8198141923951979
4109;donovan;changes;1970;pop;0.6815769522365428;0.7484808860856856;0.7866859027205276;0.7197109659480857
4115;jackie wilson;(i can feel those vibrations) this love is real;1970;pop;0.6566663056428029;0.7044586313873291;0.7578318219291014;0.7337254176506813
4189;simon & garfunkel;why don't you write me;1970;pop;0.7400628181522799;0.6561033766633335;0.9361088211046991;0.7717646437005838
4256;badfinger;come and get it;1970;pop;0.6003465829091303;0.7373022588006051;0.6001648804616652;0.6296180621456846
4396;tony joe white;they caught the devil and put him in jail in eudora, arkansas;1971;pop;0.7877179681576953;0.6917160218444734;0.9464138499587799;0.6035912232694354
4417;bonnie raitt;danger heartbreak ahead;1971;pop;0.6025127260911947;0.7418660103068994;0.6125309150865622;0.7327243853862102
4485;the fortunes;here comes that rainy day feeling again;1971;pop;0.7498104624715695;0.7060482526985103;0.804204451772465;0.7086996110389032
4549;gilbert o'sullivan;matrimony;1971;pop;0.6317556590490632;0.7007922467502499;0.8722176422093981;0.6686583204600582
4574;hamilton, joe frank & reynolds;don't pull your love out;1971;pop;0.6025127260911947;0.8114760403045919;0.8990107172300081;0.8338286440977936
4618;gilbert o'sullivan;too much attention;1971;pop;0.831040831798982;0.6764607850678153;0.8608821104699094;0.7517439984111614
4677;karen dalton;how sweet it is;1971;pop;0.6534170908697066;0.7635310104350946;0.857790601813685;0.8268214182464957
4721;paul davis;keep our love alive;1972;pop;0.7790533954294379;0.7049457734020459;0.8732481450948062;0.6075953523273199
4763;michael jackson;love is here and now you're gone;1972;pop;0.6339218022311276;0.686972796964336;0.7866859027205276;0.7527450306756326
4764;simon & garfunkel;cecilia;1972;pop;0.6642478067800283;0.6660256903315129;0.9701154163231657;0.8498451603293317
4786;bread;down on my knees;1972;pop;0.6068450124553233;0.6749480809168524;0.8114179719703214;0.8868833541147629
4816;bread;this isn't what the governmeant;1972;pop;0.6956568829199612;0.6290798143732533;0.7805028854080791;0.6846748366915963
4841;gilbert o'sullivan;save it;1972;pop;0.8039640420231778;0.7190472527754275;0.9227122835943941;0.8478430958003893
4918;bette midler;boogie woogie bugle boy;1972;pop;0.6458355897324813;0.7401994718354997;0.8258450123660346;0.6476366429061648
5034;can;spoon;1972;pop;0.71515217155854;0.6795118324231468;0.8722176422093981;0.8047987084281311
5037;pete townshend;pure and easy;1972;pop;0.6523340192786744;0.6842806963566904;0.6300494641384995;0.729721288592797
5061;harry nilsson;you're breakin' my heart;1972;pop;0.7313982454240225;0.6425915955182934;0.9711459192085737;0.845841031271447
5076;the supremes;automatically sunshine;1972;pop;0.7086537420123471;0.6678460631233494;0.7990519373454246;0.6045922555339065
5140;the j. geils band;make up your mind;1973;pop;0.6382540885952561;0.6521806014921928;0.9536273701566365;0.6836738044271251
